fetched_at,temperature_c,feels_like_c,condition,wind_speed_mph,precipitation_mm
2026-08-19T10:05:09+00:00,17.2,18.3,Light drizzle,3.6,0.1
2026-08-19T10:07:16+00:00,17.2,18.3,Light drizzle,3.6,0.1
2026-08-19T10:07:33+00:00,17.2,18.3,Light drizzle,3.6,0.1
2026-08-19T10:28:18+00:00,17.2,18.3,Light drizzle,3.6,0.1
2026-08-19T10:59:14+00:00,17.2,18.3,Light drizzle,3.6,0.1
2026-08-19T11:28:55+00:00,19.0,19.5,Overcast,4.3,0.0
2026-08-19T12:54:18+00:00,20.0,20.0,Overcast,5.8,0.0
2026-08-19T13:31:10+00:00,19.3,20.6,Dense drizzle,3.6,1.0
2026-08-19T13:48:16+00:00,19.3,20.6,Dense drizzle,3.6,1.0
2026-08-19T14:37:50+00:00,20.7,21.8,Overcast,3.1,0.0
2026-08-19T15:35:10+00:00,22.3,21.0,Partly cloudy,8.7,0.0
2026-08-19T16:35:37+00:00,22.8,21.3,Overcast,8.7,0.0
2026-08-19T17:30:07+00:00,22.0,19.6,Partly cloudy,10.3,0.0
2026-08-19T18:40:16+00:00,21.2,18.6,Clear sky,11.0,0.0
2026-08-19T19:29:19+00:00,19.9,17.7,Clear sky,9.4,0.0
2026-08-19T20:32:48+00:00,19.2,17.5,Clear sky,6.9,0.0
2026-08-19T21:29:18+00:00,18.7,17.7,Mainly clear,4.7,0.0
2026-08-19T22:28:26+00:00,18.1,17.1,Clear sky,6.3,0.0
2026-08-19T23:26:15+00:00,17.5,16.5,Clear sky,5.8,0.0
2026-08-20T01:26:32+00:00,16.4,15.5,Mainly clear,6.3,0.0
2026-08-20T03:00:26+00:00,16.5,15.6,Partly cloudy,6.7,0.0
2026-08-20T04:40:55+00:00,16.2,15.4,Partly cloudy,6.5,0.0
2026-08-20T05:35:00+00:00,16.0,15.1,Overcast,6.7,0.0
2026-08-20T06:52:50+00:00,16.0,15.3,Overcast,5.8,0.0
2026-08-20T07:44:40+00:00,16.5,15.9,Overcast,6.7,0.0
2026-08-20T08:43:20+00:00,17.3,15.9,Overcast,7.6,0.0
2026-08-20T09:38:51+00:00,18.8,16.9,Partly cloudy,9.2,0.0
2026-08-20T10:34:53+00:00,18.8,17.4,Overcast,8.7,0.0
2026-08-20T11:30:16+00:00,19.3,17.5,Overcast,10.7,0.0
2026-08-20T12:56:35+00:00,20.0,18.4,Partly cloudy,8.7,0.0
2026-08-20T13:52:09+00:00,18.6,19.5,Slight rain showers,6.9,1.7
2026-08-20T14:40:11+00:00,18.1,19.6,Slight rain showers,5.6,1.9
2026-08-20T15:37:28+00:00,19.9,19.2,Partly cloudy,7.6,0.0
2026-08-20T16:39:04+00:00,21.1,18.7,Partly cloudy,11.0,0.0
2026-08-20T17:33:49+00:00,20.7,18.4,Overcast,9.8,0.0
2026-08-20T18:45:32+00:00,20.1,18.2,Overcast,9.8,0.0
2026-08-20T19:34:25+00:00,19.1,17.4,Overcast,8.7,0.0
2026-08-20T20:32:48+00:00,18.9,17.6,Partly cloudy,7.4,0.0
2026-08-20T21:31:47+00:00,18.0,16.8,Overcast,7.2,0.0
2026-08-20T22:31:33+00:00,17.0,15.8,Overcast,8.5,0.0
2026-08-20T23:29:40+00:00,16.8,15.8,Overcast,7.4,0.0
2026-08-21T01:36:57+00:00,15.8,15.0,Overcast,6.3,0.0
2026-08-21T03:06:50+00:00,15.3,14.2,Overcast,6.3,0.0
2026-08-21T04:42:34+00:00,14.8,13.6,Overcast,6.9,0.0
2026-08-21T05:36:38+00:00,14.3,12.9,Partly cloudy,6.9,0.0
2026-08-21T06:54:04+00:00,13.9,12.7,Overcast,6.0,0.0
